Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,21.187,IND,@,LAR,L 9-46,False,10,24,2.40,1,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,1,6,1,0,0,0,0,0,17,34%,0,0%,0,0%,True,Marlon Mack
2017,2017-09-17,2,2,21.194,IND,,ARI,L 13-16,False,6,-3,-0.50,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,False,Marlon Mack
2017,2017-09-24,3,3,,IND,,CLE,W 31-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marlon Mack
2017,2017-10-01,4,4,,IND,@,SEA,L 18-46,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marlon Mack
2017,2017-10-08,5,5,21.215,IND,,SFO,W 26-23,False,9,91,10.11,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,1,6,0,0,0,0,0,0,17,22%,0,0%,2,6%,False,Marlon Mack
2017,2017-10-16,6,6,21.223,IND,@,TEN,L 22-36,False,2,18,9.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,14,24%,0,0%,0,0%,True,Marlon Mack
2017,2017-10-22,7,7,21.229,IND,,JAX,L 0-27,False,5,26,5.20,0,6,4,40,10.00,0,66.7%,6.67,0,0,,0,,0,0,0,0,0,0,0,0,32,48%,0,0%,6,29%,False,Marlon Mack
2017,2017-10-29,8,8,21.236,IND,@,CIN,L 23-24,False,11,27,2.45,0,5,3,36,12.00,1,60.0%,7.20,2,35,17.50,0,,1,6,0,0,0,0,0,0,39,53%,0,0%,5,17%,True,Marlon Mack
2017,2017-11-05,9,9,21.243,IND,@,HOU,W 20-14,False,9,29,3.22,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,27,41%,0,0%,0,0%,True,Marlon Mack
2017,2017-11-12,10,10,21.250,IND,,PIT,L 17-20,False,7,7,1.00,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,,0,0,0,0,0,0,0,0,25,42%,0,0%,0,0%,False,Marlon Mack
2017,2017-11-26,11,12,21.264,IND,,TEN,L 16-20,False,4,11,2.75,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,,0,0,0,0,0,0,0,0,19,30%,0,0%,0,0%,False,Marlon Mack
2017,2017-12-03,12,13,21.271,IND,@,JAX,L 10-30,False,6,46,7.67,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,30,43%,0,0%,0,0%,True,Marlon Mack
2017,2017-12-10,13,14,21.278,IND,@,BUF,L 7-13,False,7,23,3.29,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,17,24%,0,0%,0,0%,True,Marlon Mack
2017,2017-12-14,14,15,21.282,IND,,DEN,L 13-25,False,6,14,2.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,24,44%,0,0%,1,5%,False,Marlon Mack
2017,2017-12-23,15,16,21.291,IND,@,BAL,L 16-23,False,4,17,4.25,0,2,2,37,18.50,0,100.0%,18.50,1,34,34.00,0,,0,0,0,0,0,0,0,0,15,24%,0,0%,6,22%,True,Marlon Mack
2017,2017-12-31,16,17,21.299,IND,,HOU,W 22-13,False,7,28,4.00,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,1,6,0,0,0,0,0,0,22,34%,0,0%,4,15%,False,Marlon Mack
