Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-05,1,1,22.090,CHI,,GNB,L 3-10,True,6,18,3.00,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,False,David Montgomery
2019,2019-09-15,2,2,22.100,CHI,@,DEN,W 16-14,True,18,62,3.44,1,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,45%,0,0%,0,0%,True,David Montgomery
2019,2019-09-23,3,3,22.108,CHI,@,WAS,W 31-15,False,13,67,5.15,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,65%,0,0%,0,0%,True,David Montgomery
2019,2019-09-29,4,4,22.114,CHI,,MIN,W 16-6,False,21,53,2.52,0,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,69%,0,0%,1,5%,False,David Montgomery
2019,2019-10-06,5,5,22.121,CHI,@,OAK,L 21-24,True,11,25,2.27,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,54%,0,0%,0,0%,True,David Montgomery
2019,2019-10-20,6,7,22.135,CHI,,NOR,L 25-36,False,2,6,3.00,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,30,47%,0,0%,0,0%,False,David Montgomery
2019,2019-10-27,7,8,22.142,CHI,,LAC,L 16-17,True,27,135,5.00,1,5,4,12,3.00,0,80.0%,2.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,74%,0,0%,0,0%,False,David Montgomery
2019,2019-11-03,8,9,22.149,CHI,@,PHI,L 14-22,True,14,40,2.86,2,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,32,73%,0,0%,0,0%,True,David Montgomery
2019,2019-11-10,9,10,22.156,CHI,,DET,W 20-13,True,17,60,3.53,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,61%,0,0%,0,0%,False,David Montgomery
2019,2019-11-17,10,11,22.163,CHI,@,LAR,L 7-17,False,14,31,2.21,0,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,46%,0,0%,0,0%,True,David Montgomery
