Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2003.0,2003-09-07,1.0,1.0,22.339,ARI,DET,L 24-42,True,14,10,217,21.70,2,71.4%,15.50,0,0,,0,0,0,,0,0,0,,0,0,,,3,18,6.00,0,,2,12,1,1,0,0,0,0,,,,,,,True,Anquan Boldin,False,24,42
2003.0,2003-09-14,2.0,2.0,22.346,ARI,SEA,L 0-38,True,13,8,62,7.75,0,61.5%,4.77,0,0,,0,0,0,,0,0,0,,0,0,,,1,7,7.00,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin,False,0,38
2003.0,2003-09-21,3.0,3.0,22.353,ARI,GNB,W 20-13,True,8,5,99,19.80,0,62.5%,12.38,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,6.00,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin,True,20,13
2003.0,2003-09-28,4.0,4.0,22.36,ARI,STL,L 13-37,True,9,7,86,12.29,0,77.8%,9.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,True,Anquan Boldin,False,13,37
2003.0,2003-10-05,5.0,5.0,23.002,ARI,DAL,L 7-24,True,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin,False,7,24
2003.0,2003-10-12,6.0,6.0,23.009,ARI,BAL,L 18-26,True,10,6,95,15.83,0,60.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,6.00,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin,False,18,26
2003.0,2003-10-26,7.0,8.0,23.023,ARI,SFO,W 16-13,True,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin,True,16,13
2003.0,2003-11-02,8.0,9.0,23.03,ARI,CIN,W 17-14,True,9,6,51,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,4,20,5.00,0,,1,6,0,,0,0,0,0,,,,,,,False,Anquan Boldin,True,17,14
2003.0,2003-11-09,9.0,10.0,23.037,ARI,PIT,L 15-28,True,13,8,118,14.75,1,61.5%,9.08,0,0,,0,0,0,,0,0,0,,0,0,,,3,5,1.67,0,,1,6,0,,0,0,0,0,,,,,,,True,Anquan Boldin,False,15,28
2003.0,2003-11-16,10.0,11.0,23.044,ARI,CLE,L 6-44,True,6,4,86,21.50,0,66.7%,14.33,1,6,6.00,0,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin,False,6,44
2003.0,2003-11-23,11.0,12.0,23.051,ARI,STL,L 27-30,True,11,6,123,20.50,2,54.5%,11.18,2,28,14.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,,2,12,0,,0,0,0,0,,,,,,,False,Anquan Boldin,False,27,30
2003.0,2003-11-30,12.0,13.0,23.058,ARI,CHI,L 3-28,True,10,4,33,8.25,0,40.0%,3.30,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin,False,3,28
2003.0,2003-12-07,13.0,14.0,23.065,ARI,SFO,L 14-50,True,14,9,123,13.67,1,64.3%,8.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,Anquan Boldin,False,14,50
2003.0,2003-12-14,14.0,15.0,23.072,ARI,CAR,L 17-20,True,13,7,73,10.43,0,53.8%,5.62,1,11,11.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin,False,17,20
2003.0,2003-12-21,15.0,16.0,23.079,ARI,SEA,L 10-28,True,14,10,122,12.20,1,71.4%,8.71,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Anquan Boldin,False,10,28
2003.0,2003-12-28,16.0,17.0,23.086,ARI,MIN,W 18-17,True,8,5,27,5.40,0,62.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,1,7,7.00,0,,0,0,0,,0,1,0,0,,,,,,,False,Anquan Boldin,True,18,17
