Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-10,1,1,23.040,PIT,,TEN,W 13-10,False,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-09-20,2,2,23.050,PIT,@,CHI,L 14-17,False,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Mike Wallace
2009,2009-09-27,3,3,23.057,PIT,@,CIN,L 20-23,False,8,7,102,14.57,0,87.5%,12.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mike Wallace
2009,2009-10-04,4,4,23.064,PIT,,SDG,W 38-28,False,3,2,47,23.50,0,66.7%,15.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-10-11,5,5,23.071,PIT,@,DET,W 28-20,False,5,2,52,26.00,1,40.0%,10.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mike Wallace
2009,2009-10-18,6,6,23.078,PIT,,CLE,W 27-14,False,4,2,50,25.00,0,50.0%,12.50,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-10-25,7,7,23.085,PIT,,MIN,W 27-17,True,4,3,72,24.00,1,75.0%,18.00,2,19,9.50,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-11-09,8,9,23.100,PIT,@,DEN,W 28-10,False,8,4,69,17.25,1,50.0%,8.63,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mike Wallace
2009,2009-11-15,9,10,23.106,PIT,,CIN,L 12-18,False,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,0,0,0,,,,,,1,26,26.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-11-22,10,11,23.113,PIT,@,KAN,L 24-27,False,3,2,47,23.50,0,66.7%,15.67,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,Mike Wallace
2009,2009-11-29,11,12,23.120,PIT,@,BAL,L 17-20,False,4,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Mike Wallace
2009,2009-12-06,12,13,23.127,PIT,,OAK,L 24-27,False,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-12-10,13,14,23.131,PIT,@,CLE,L 6-13,False,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mike Wallace
2009,2009-12-20,14,15,23.141,PIT,,GNB,W 37-36,True,4,2,79,39.50,2,50.0%,19.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mike Wallace
2009,2009-12-27,15,16,23.148,PIT,,BAL,W 23-20,True,6,3,83,27.67,0,50.0%,13.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mike Wallace
