Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,,JAX,IND,W 27-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jake Luton,True,27,20
2020.0,2020-09-20,2.0,2.0,,JAX,TEN,L 30-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jake Luton,False,30,33
2020.0,2020-09-24,3.0,3.0,,JAX,MIA,L 13-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jake Luton,False,13,31
2020.0,2020-10-04,4.0,4.0,,JAX,CIN,L 25-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jake Luton,False,25,33
2020.0,2020-10-11,5.0,5.0,,JAX,HOU,L 14-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jake Luton,False,14,30
2020.0,2020-10-18,6.0,6.0,,JAX,DET,L 16-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jake Luton,False,16,34
2020.0,2020-10-25,7.0,7.0,,JAX,LAC,L 29-39,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jake Luton,False,29,39
2020.0,2020-11-08,8.0,9.0,24.211,JAX,HOU,L 25-27,True,26,38,68.42,304,1,1,90.2,2,16,8.00,7.34,1,13,13.00,1,1,6,1,0,0,0,0,0,69,100%,0,0%,0,0%,False,Jake Luton,False,25,27
2020.0,2020-11-15,9.0,10.0,24.218,JAX,GNB,L 20-24,True,18,35,51.43,169,1,1,62.7,3,18,4.83,4.11,0,0,,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Jake Luton,False,20,24
2020.0,2020-11-22,10.0,11.0,24.225,JAX,PIT,L 3-27,True,16,37,43.24,151,0,4,15.5,2,18,4.08,-0.78,0,0,,0,0,0,1,0,0,1,0,0,58,100%,0,0%,0,0%,False,Jake Luton,False,3,27
