Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-11-27,11,12,22.181,BUF,@,NYJ,L 24-28,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Kamar Aiken
2011,2011-12-04,12,13,,BUF,,TEN,L 17-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kamar Aiken
2011,2011-12-11,13,14,,BUF,@,SDG,L 10-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kamar Aiken
2011,2011-12-18,14,15,,BUF,,MIA,L 23-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kamar Aiken
2011,2011-12-24,15,16,22.208,BUF,,DEN,W 40-14,False,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Kamar Aiken
2011,2012-01-01,16,17,,BUF,@,NWE,L 21-49,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kamar Aiken
2012,2012-12-23,15,16,23.207,NWE,@,JAX,W 23-16,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,3,4%,0,0%,5,17%,True,Kamar Aiken
2012,2012-12-30,16,17,,NWE,,MIA,W 28-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kamar Aiken
2014,2014-09-07,1,1,25.100,BAL,,CIN,L 16-23,False,4,4,30,7.50,0,100.0%,7.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,15%,0,0%,15,54%,False,Kamar Aiken
2014,2014-09-11,2,2,25.104,BAL,,PIT,W 26-6,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,1,1%,0,0%,4,17%,False,Kamar Aiken
2014,2014-09-21,3,3,25.114,BAL,@,CLE,W 23-21,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,2,3%,0,0%,12,46%,True,Kamar Aiken
2014,2014-09-28,4,4,25.121,BAL,,CAR,W 38-10,False,1,1,22,22.00,0,100.0%,22.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,22%,0,0%,15,60%,False,Kamar Aiken
2014,2014-10-05,5,5,25.128,BAL,@,IND,L 13-20,False,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,11,46%,True,Kamar Aiken
2014,2014-10-12,6,6,25.135,BAL,@,TAM,W 48-17,False,2,2,20,10.00,1,100.0%,10.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,15,22%,0,0%,15,45%,True,Kamar Aiken
2014,2014-10-19,7,7,25.142,BAL,,ATL,W 29-7,False,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,24%,0,0%,17,71%,False,Kamar Aiken
2014,2014-10-26,8,8,25.149,BAL,@,CIN,L 24-27,False,6,2,15,7.50,0,33.3%,2.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,49%,0,0%,15,60%,True,Kamar Aiken
2014,2014-11-02,9,9,25.156,BAL,@,PIT,L 23-43,False,1,1,12,12.00,0,100.0%,12.00,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,22,31%,0,0%,17,52%,True,Kamar Aiken
2014,2014-11-09,10,10,25.163,BAL,,TEN,W 21-7,False,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,21,78%,False,Kamar Aiken
2014,2014-11-24,11,12,25.178,BAL,@,NOR,W 34-27,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,9,15%,0,0%,18,62%,True,Kamar Aiken
2014,2014-11-30,12,13,25.184,BAL,,SDG,L 33-34,False,4,3,51,17.00,0,75.0%,12.75,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,39%,0,0%,18,58%,False,Kamar Aiken
2014,2014-12-07,13,14,25.191,BAL,@,MIA,W 28-13,False,7,6,65,10.83,1,85.7%,9.29,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,71%,0,0%,17,68%,True,Kamar Aiken
2014,2014-12-14,14,15,25.198,BAL,,JAX,W 20-12,False,1,0,0,,0,0.0%,0.00,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,13,21%,0,0%,21,64%,False,Kamar Aiken
2014,2014-12-21,15,16,25.205,BAL,@,HOU,L 13-25,False,1,0,0,,0,0.0%,0.00,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,22,30%,0,0%,26,74%,True,Kamar Aiken
2014,2014-12-28,16,17,25.212,BAL,,CLE,W 20-10,False,2,2,13,6.50,1,100.0%,6.50,1,6,0.0,0,0,0,,,0,0,0,0,0,0,16,24%,0,0%,19,70%,False,Kamar Aiken
2015,2015-09-13,1,1,26.106,BAL,@,DEN,L 13-19,True,3,1,-1,-1.00,0,33.3%,-0.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,76%,0,0%,1,3%,True,Kamar Aiken
2015,2015-09-20,2,2,26.113,BAL,@,OAK,L 33-37,True,7,5,89,17.80,0,71.4%,12.71,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,55,67%,0,0%,0,0%,True,Kamar Aiken
2015,2015-09-27,3,3,26.120,BAL,,CIN,L 24-28,True,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,85%,0,0%,0,0%,False,Kamar Aiken
2015,2015-10-01,4,4,26.124,BAL,@,PIT,W 23-20,False,7,5,77,15.40,1,71.4%,11.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,80%,0,0%,9,28%,True,Kamar Aiken
2015,2015-10-11,5,5,26.134,BAL,,CLE,L 30-33,True,9,4,78,19.50,0,44.4%,8.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,91%,0,0%,0,0%,False,Kamar Aiken
2015,2015-10-18,6,6,26.141,BAL,@,SFO,L 20-25,True,8,3,22,7.33,1,37.5%,2.75,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,82%,0,0%,0,0%,True,Kamar Aiken
2015,2015-10-26,7,7,26.149,BAL,@,ARI,L 18-26,True,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,81%,0,0%,2,7%,True,Kamar Aiken
2015,2015-11-01,8,8,26.155,BAL,,SDG,W 29-26,True,6,6,62,10.33,0,100.0%,10.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,69%,0,0%,0,0%,False,Kamar Aiken
2015,2015-11-15,9,10,26.169,BAL,,JAX,L 20-22,False,14,7,73,10.43,0,50.0%,5.21,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,79%,0,0%,1,3%,False,Kamar Aiken
2015,2015-11-22,10,11,26.176,BAL,,STL,W 16-13,True,8,5,50,10.00,1,62.5%,6.25,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,97%,0,0%,0,0%,False,Kamar Aiken
2015,2015-11-30,11,12,26.184,BAL,@,CLE,W 33-27,True,10,6,80,13.33,1,60.0%,8.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,True,Kamar Aiken
2015,2015-12-06,12,13,26.190,BAL,@,MIA,L 13-15,True,11,6,48,8.00,0,54.5%,4.36,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,83%,0,0%,0,0%,True,Kamar Aiken
2015,2015-12-13,13,14,26.197,BAL,,SEA,L 6-35,True,7,5,90,18.00,0,71.4%,12.86,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,90%,0,0%,0,0%,False,Kamar Aiken
2015,2015-12-20,14,15,26.204,BAL,,KAN,L 14-34,True,12,8,128,16.00,1,66.7%,10.67,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,78%,0,0%,0,0%,False,Kamar Aiken
2015,2015-12-27,15,16,26.211,BAL,,PIT,W 20-17,True,8,8,66,8.25,0,100.0%,8.25,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,84%,0,0%,0,0%,False,Kamar Aiken
