Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-11,1,1,23.039,LAC,@,DEN,L 21-24,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,31%,True,Younghoe Koo
2017,2017-09-17,2,2,23.045,LAC,,MIA,L 17-19,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,False,Younghoe Koo
2017,2017-09-24,3,3,23.052,LAC,,KAN,L 10-24,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,4,15%,False,Younghoe Koo
2017,2017-10-01,4,4,23.059,LAC,,PHI,L 24-26,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,30%,False,Younghoe Koo
2019,2019-11-10,9,10,25.099,ATL,@,NOR,W 26-9,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,48%,True,Younghoe Koo
2019,2019-11-17,10,11,25.106,ATL,@,CAR,W 29-3,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,57%,True,Younghoe Koo
2019,2019-11-24,11,12,25.113,ATL,,TAM,L 22-35,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,29%,False,Younghoe Koo
2019,2019-11-28,12,13,25.117,ATL,,NOR,L 18-26,False,,1,0.0,2,3,66.7,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,33%,False,Younghoe Koo
2019,2019-12-08,13,14,25.127,ATL,,CAR,W 40-20,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,0,0,1,3,0,0,0,,0,0,0%,0,0%,16,47%,False,Younghoe Koo
2019,2019-12-15,14,15,25.134,ATL,@,SFO,W 29-22,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,30%,True,Younghoe Koo
2019,2019-12-22,15,16,25.141,ATL,,JAX,W 24-12,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,40%,False,Younghoe Koo
2019,2019-12-29,16,17,25.148,ATL,@,TAM,W 28-22,False,1,1,100.0,5,5,100.0,0,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,46%,True,Younghoe Koo
2020,2020-09-13,1,1,26.041,ATL,,SEA,L 25-38,False,1,2,50.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1%,0,0%,9,31%,False,Younghoe Koo
2020,2020-09-20,2,2,26.048,ATL,@,DAL,L 39-40,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,46%,True,Younghoe Koo
2020,2020-09-27,3,3,26.055,ATL,,CHI,L 26-30,False,2,3,66.7,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,17%,False,Younghoe Koo
