Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,24.016,MIN,STL,W 34-6,False,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,14,24%,0,0%,10,32%,True,Adam Thielen,True,34,6
2014.0,2014-09-14,2.0,2.0,24.023,MIN,NWE,L 7-30,False,2,0,0,,0,0.0%,0.00,0,0,,0,1,12,12.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,10,36%,False,Adam Thielen,False,7,30
2014.0,2014-09-21,3.0,3.0,24.03,MIN,NOR,L 9-20,True,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,11,20%,0,0%,8,36%,True,Adam Thielen,False,9,20
2014.0,2014-09-28,4.0,4.0,24.037,MIN,ATL,W 41-28,False,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,9,12%,0,0%,18,55%,False,Adam Thielen,True,41,28
2014.0,2014-10-02,5.0,5.0,24.041,MIN,GNB,L 10-42,False,5,4,57,14.25,0,80.0%,11.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,35%,0,0%,18,58%,True,Adam Thielen,False,10,42
2014.0,2014-10-12,6.0,6.0,24.051,MIN,DET,L 3-17,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,9,13%,0,0%,21,78%,False,Adam Thielen,False,3,17
2014.0,2014-10-19,7.0,7.0,24.058,MIN,BUF,L 16-17,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,12,19%,0,0%,15,56%,True,Adam Thielen,False,16,17
2014.0,2014-10-26,8.0,8.0,24.065,MIN,TAM,W 19-13,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,21,72%,True,Adam Thielen,True,19,13
2014.0,2014-11-02,9.0,9.0,24.072,MIN,WAS,W 29-26,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,5%,0,0%,21,75%,False,Adam Thielen,True,29,26
2014.0,2014-11-16,10.0,11.0,24.086,MIN,CHI,L 13-21,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,11,23%,0,0%,14,61%,True,Adam Thielen,False,13,21
