Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,22.164,BUF,,NYJ,W 21-12,True,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,86%,0,0%,0,0%,False,Zay Jones
2017,2017-09-17,2,2,22.171,BUF,@,CAR,L 3-9,True,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,91%,0,0%,0,0%,True,Zay Jones
2017,2017-09-24,3,3,22.178,BUF,,DEN,W 26-16,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,85%,0,0%,0,0%,False,Zay Jones
2017,2017-10-01,4,4,22.185,BUF,@,ATL,W 23-17,False,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,73%,0,0%,0,0%,True,Zay Jones
2017,2017-10-08,5,5,22.192,BUF,@,CIN,L 16-20,True,6,1,9,9.00,0,16.7%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,94%,0,0%,0,0%,True,Zay Jones
2017,2017-10-22,6,7,22.206,BUF,,TAM,W 30-27,True,9,2,17,8.50,0,22.2%,1.89,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,81%,0,0%,0,0%,False,Zay Jones
2017,2017-10-29,7,8,22.213,BUF,,OAK,W 34-14,True,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,80%,0,0%,1,4%,False,Zay Jones
2017,2017-11-02,8,9,22.217,BUF,@,NYJ,L 21-34,True,7,6,53,8.83,1,85.7%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,53%,0,0%,0,0%,True,Zay Jones
2017,2017-11-12,9,10,,BUF,,NOR,L 10-47,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Zay Jones
2017,2017-11-19,10,11,22.234,BUF,@,LAC,L 24-54,True,7,4,68,17.00,0,57.1%,9.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,82%,0,0%,0,0%,True,Zay Jones
2017,2017-11-26,11,12,22.241,BUF,@,KAN,W 16-10,True,10,3,33,11.00,1,30.0%,3.30,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,83%,0,0%,0,0%,True,Zay Jones
2017,2017-12-03,12,13,22.248,BUF,,NWE,L 3-23,True,7,2,22,11.00,0,28.6%,3.14,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,97%,0,0%,0,0%,False,Zay Jones
