Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,23.222,CLE,PIT,L 27-30,False,16,100,6.25,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,37,55%,0,0%,0,0%,True,Terrance West,False,27,30
2014.0,2014-09-14,2.0,2.0,23.229,CLE,NOR,W 26-24,True,19,68,3.58,1,2,2,22,11.00,0,100.0%,11.00,1,6,0,0,0,0,0,0,47,63%,0,0%,0,0%,False,Terrance West,True,26,24
2014.0,2014-09-21,3.0,3.0,23.236,CLE,BAL,L 21-23,True,12,36,3.00,1,2,2,5,2.50,0,100.0%,2.50,1,6,0,0,0,0,0,0,30,50%,0,0%,0,0%,False,Terrance West,False,21,23
2014.0,2014-10-05,4.0,5.0,23.25,CLE,TEN,W 29-28,False,7,31,4.43,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,11,14%,0,0%,0,0%,True,Terrance West,True,29,28
2014.0,2014-10-12,5.0,6.0,,CLE,PIT,W 31-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West,True,31,10
2014.0,2014-10-19,6.0,7.0,23.264,CLE,JAX,L 6-24,False,5,8,1.60,0,1,1,0,0.00,0,100.0%,0.00,0,0,0,0,0,0,0,0,10,13%,0,0%,0,0%,True,Terrance West,False,6,24
2014.0,2014-10-26,7.0,8.0,23.271,CLE,OAK,W 23-13,False,7,11,1.57,0,2,1,10,10.00,0,50.0%,5.00,0,0,0,0,0,0,0,0,22,39%,0,0%,0,0%,False,Terrance West,True,23,13
2014.0,2014-11-02,8.0,9.0,23.278,CLE,TAM,W 22-17,False,15,48,3.20,0,1,1,2,2.00,1,100.0%,2.00,1,6,0,0,0,0,0,0,37,55%,0,0%,0,0%,False,Terrance West,True,22,17
2014.0,2014-11-06,9.0,10.0,23.282,CLE,CIN,W 24-3,True,26,94,3.62,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,36,47%,0,0%,0,0%,True,Terrance West,True,24,3
2014.0,2014-11-16,10.0,11.0,23.292,CLE,HOU,L 7-23,False,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,10,13%,0,0%,0,0%,False,Terrance West,False,7,23
2014.0,2014-11-23,11.0,12.0,23.299,CLE,ATL,W 26-24,False,14,62,4.43,0,1,1,9,9.00,0,100.0%,9.00,0,0,1,0,0,0,0,0,30,40%,0,0%,0,0%,True,Terrance West,True,26,24
2014.0,2014-11-30,12.0,13.0,23.306,CLE,BUF,L 10-26,False,7,32,4.57,0,1,1,4,4.00,0,100.0%,4.00,0,0,1,1,0,0,0,0,24,35%,0,0%,0,0%,True,Terrance West,False,10,26
2014.0,2014-12-07,13.0,14.0,23.313,CLE,IND,L 24-25,True,15,54,3.60,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,35,54%,0,0%,0,0%,False,Terrance West,False,24,25
2014.0,2014-12-14,14.0,15.0,23.32,CLE,CIN,L 0-30,True,5,23,4.60,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,20,48%,0,0%,0,0%,False,Terrance West,False,0,30
2014.0,2014-12-21,15.0,16.0,,CLE,CAR,L 13-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Terrance West,False,13,17
2014.0,2014-12-28,16.0,17.0,23.334,CLE,BAL,L 10-20,True,18,94,5.22,1,3,2,12,6.00,0,66.7%,4.00,1,6,0,0,0,0,0,0,53,82%,0,0%,0,0%,True,Terrance West,False,10,20
2015.0,2015-09-13,1.0,1.0,24.228,TEN,TAM,W 42-14,False,13,41,3.15,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,21,38%,0,0%,3,12%,True,Terrance West,True,42,14
2015.0,2015-09-20,2.0,2.0,24.235,TEN,CLE,L 14-28,False,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,5,6%,0,0%,5,19%,True,Terrance West,False,14,28
2015.0,2015-09-27,3.0,3.0,,TEN,IND,L 33-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West,False,33,35
2015.0,2015-10-11,4.0,5.0,,TEN,BUF,L 13-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West,False,13,14
2015.0,2015-10-18,5.0,6.0,,TEN,MIA,L 10-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West,False,10,38
2015.0,2015-10-25,6.0,7.0,,TEN,ATL,L 7-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West,False,7,10
2015.0,2015-11-01,7.0,8.0,,TEN,HOU,L 6-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Terrance West,False,6,20
