Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-09-08,1,1,23.098,GNB,@,SFO,L 28-34,True,14,41,2.93,1,2,1,31,31.00,0,50.0%,15.50,1,6,1,1,0,0,0,0,41,66%,0,0%,0,0%,True,Eddie Lacy
2013,2013-09-15,2,2,23.105,GNB,,WAS,W 38-20,True,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,5,7%,0,0%,0,0%,False,Eddie Lacy
2013,2013-09-22,3,3,,GNB,@,CIN,L 30-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Eddie Lacy
2013,2013-10-06,4,5,23.126,GNB,,DET,W 22-9,True,23,99,4.30,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,0,0,0,1,0,0,54,81%,0,0%,0,0%,False,Eddie Lacy
2013,2013-10-13,5,6,23.133,GNB,@,BAL,W 19-17,True,23,120,5.22,0,1,1,5,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,True,Eddie Lacy
2013,2013-10-20,6,7,23.140,GNB,,CLE,W 31-13,True,22,82,3.73,1,7,5,26,5.20,0,71.4%,3.71,1,6,0,0,0,0,0,0,59,83%,0,0%,0,0%,False,Eddie Lacy
2013,2013-10-27,7,8,23.147,GNB,@,MIN,W 44-31,True,29,94,3.24,1,4,4,18,4.50,0,100.0%,4.50,1,6,0,0,0,0,0,0,62,82%,0,0%,0,0%,True,Eddie Lacy
2013,2013-11-04,8,9,23.155,GNB,,CHI,L 20-27,True,22,150,6.82,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,38,69%,0,0%,0,0%,False,Eddie Lacy
2013,2013-11-10,9,10,23.161,GNB,,PHI,L 13-27,True,24,73,3.04,0,2,2,11,5.50,0,100.0%,5.50,0,0,0,0,0,0,0,0,48,61%,0,0%,0,0%,False,Eddie Lacy
2013,2013-11-17,10,11,23.168,GNB,@,NYG,L 13-27,True,14,27,1.93,1,2,2,21,10.50,0,100.0%,10.50,1,6,0,0,0,0,0,0,33,61%,0,0%,0,0%,True,Eddie Lacy
2013,2013-11-24,11,12,23.175,GNB,,MIN,T 26-26,True,25,110,4.40,1,6,6,48,8.00,0,100.0%,8.00,1,6,0,0,0,0,0,0,70,74%,0,0%,0,0%,False,Eddie Lacy
2013,2013-11-28,12,13,23.179,GNB,@,DET,L 10-40,True,10,16,1.60,0,4,2,23,11.50,0,50.0%,5.75,0,0,0,0,0,0,0,0,25,58%,0,0%,0,0%,True,Eddie Lacy
2013,2013-12-08,13,14,23.189,GNB,,ATL,W 22-21,True,20,65,3.25,1,5,3,25,8.33,0,60.0%,5.00,1,6,0,0,0,0,0,0,48,68%,0,0%,0,0%,False,Eddie Lacy
2013,2013-12-15,14,15,23.196,GNB,@,DAL,W 37-36,True,21,141,6.71,1,5,4,30,7.50,0,80.0%,6.00,1,6,0,0,0,0,0,0,56,77%,0,0%,0,0%,True,Eddie Lacy
2013,2013-12-22,15,16,23.203,GNB,,PIT,L 31-38,True,15,84,5.60,2,3,2,6,3.00,0,66.7%,2.00,2,12,0,0,0,0,0,0,38,49%,0,0%,0,0%,False,Eddie Lacy
2013,2013-12-29,16,17,23.210,GNB,@,CHI,W 33-28,True,21,66,3.14,1,2,2,15,7.50,0,100.0%,7.50,1,6,0,0,0,0,0,0,43,55%,0,0%,0,0%,True,Eddie Lacy
2014,2014-09-04,1,1,24.094,GNB,@,SEA,L 16-36,True,12,34,2.83,0,3,3,11,3.67,0,100.0%,3.67,0,0,0,0,0,0,0,0,31,50%,0,0%,0,0%,True,Eddie Lacy
2014,2014-09-14,2,2,24.104,GNB,,NYJ,W 31-24,True,13,43,3.31,0,3,2,18,9.00,0,66.7%,6.00,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,False,Eddie Lacy
2014,2014-09-21,3,3,24.111,GNB,@,DET,L 7-19,True,11,36,3.27,0,1,1,9,9.00,0,100.0%,9.00,0,0,1,1,0,0,0,0,24,45%,0,0%,0,0%,True,Eddie Lacy
2014,2014-09-28,4,4,24.118,GNB,@,CHI,W 38-17,True,17,48,2.82,1,2,1,11,11.00,0,50.0%,5.50,1,6,0,0,0,0,0,0,50,96%,0,0%,0,0%,True,Eddie Lacy
