Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,,NOR,,TAM,W 34-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marquez Callaway
2020,2020-09-21,2,2,22.178,NOR,@,LVR,L 24-34,False,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,13,22%,0,0%,6,22%,True,Marquez Callaway
2020,2020-09-27,3,3,22.184,NOR,,GNB,L 30-37,False,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,2,3%,0,0%,8,25%,False,Marquez Callaway
2020,2020-10-04,4,4,22.191,NOR,@,DET,W 35-29,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,21%,0,0%,4,16%,True,Marquez Callaway
2020,2020-10-12,5,5,22.199,NOR,,LAC,W 30-27,True,6,4,34,8.50,0,66.7%,5.67,2,57,28.50,0,6,69,11.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,68%,0,0%,17,45%,False,Marquez Callaway
2020,2020-10-25,6,7,22.212,NOR,,CAR,W 27-24,False,10,8,75,9.38,0,80.0%,7.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,False,Marquez Callaway
2020,2020-11-01,7,8,,NOR,@,CHI,W 26-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marquez Callaway
2020,2020-11-08,8,9,22.226,NOR,@,TAM,W 38-3,False,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,23%,0,0%,3,14%,True,Marquez Callaway
2020,2020-11-15,9,10,22.233,NOR,,SFO,W 27-13,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,6,10%,0,0%,14,50%,False,Marquez Callaway
2020,2020-11-22,10,11,22.240,NOR,,ATL,W 24-9,False,0,0,0,,0,0.0%,,1,20,20.00,0,3,18,6.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,13%,0,0%,15,56%,False,Marquez Callaway
