Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,22.096,BAL,MIA,W 59-10,True,5,4,147,36.75,2,80.0%,29.40,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,14,18%,0,0%,0,0%,True,Marquise Brown,True,59,10
2019.0,2019-09-15,2.0,2.0,22.103,BAL,ARI,W 23-17,True,13,8,86,10.75,0,61.5%,6.62,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,50,65%,0,0%,0,0%,False,Marquise Brown,True,23,17
2019.0,2019-09-22,3.0,3.0,22.11,BAL,KAN,L 28-33,True,9,2,49,24.50,0,22.2%,5.44,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,61,74%,0,0%,0,0%,True,Marquise Brown,False,28,33
2019.0,2019-09-29,4.0,4.0,22.117,BAL,CLE,L 25-40,True,7,4,22,5.50,0,57.1%,3.14,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,56,80%,0,0%,0,0%,False,Marquise Brown,False,25,40
2019.0,2019-10-06,5.0,5.0,22.124,BAL,PIT,W 26-23,False,5,3,22,7.33,1,60.0%,4.40,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,36,46%,0,0%,0,0%,True,Marquise Brown,True,26,23
2019.0,2019-10-13,6.0,6.0,,BAL,CIN,W 23-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marquise Brown,True,23,17
2019.0,2019-10-20,7.0,7.0,,BAL,SEA,W 30-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marquise Brown,True,30,16
2019.0,2019-11-03,8.0,9.0,22.152,BAL,NWE,W 37-20,True,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,Marquise Brown,True,37,20
2019.0,2019-11-10,9.0,10.0,22.159,BAL,CIN,W 49-13,True,4,4,80,20.00,1,100.0%,20.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,18,39%,0,0%,0,0%,True,Marquise Brown,True,49,13
2019.0,2019-11-17,10.0,11.0,22.166,BAL,HOU,W 41-7,False,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,36,54%,0,0%,0,0%,False,Marquise Brown,True,41,7
2019.0,2019-11-25,11.0,12.0,22.174,BAL,LAR,W 45-6,True,7,5,42,8.40,2,71.4%,6.00,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,48,62%,0,0%,0,0%,True,Marquise Brown,True,45,6
2019.0,2019-12-01,12.0,13.0,22.18,BAL,SFO,W 20-17,True,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,57%,0,0%,0,0%,False,Marquise Brown,True,20,17
2019.0,2019-12-08,13.0,14.0,22.187,BAL,BUF,W 24-17,False,3,3,-2,-0.67,0,100.0%,-0.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,72%,0,0%,0,0%,True,Marquise Brown,True,24,17
2019.0,2019-12-12,14.0,15.0,22.191,BAL,NYJ,W 42-21,True,4,4,45,11.25,1,100.0%,11.25,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,47,75%,0,0%,0,0%,False,Marquise Brown,True,42,21
2019.0,2019-12-22,15.0,16.0,22.201,BAL,CLE,W 31-15,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,59%,0,0%,0,0%,True,Marquise Brown,True,31,15
2019.0,2019-12-29,16.0,17.0,22.208,BAL,PIT,W 28-10,True,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,35,51%,0,0%,0,0%,False,Marquise Brown,True,28,10
2020.0,2020-09-13,1.0,1.0,23.101,BAL,CLE,W 38-6,False,6,5,101,20.20,0,83.3%,16.83,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,63%,0,0%,0,0%,False,Marquise Brown,True,38,6
2020.0,2020-09-20,2.0,2.0,23.108,BAL,HOU,W 33-16,True,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,44,68%,0,0%,0,0%,True,Marquise Brown,True,33,16
2020.0,2020-09-28,3.0,3.0,23.116,BAL,KAN,L 20-34,True,6,2,13,6.50,0,33.3%,2.17,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,44,79%,0,0%,0,0%,False,Marquise Brown,False,20,34
2020.0,2020-10-04,4.0,4.0,23.122,BAL,WAS,W 31-17,True,8,4,86,21.50,0,50.0%,10.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,75%,0,0%,0,0%,True,Marquise Brown,True,31,17
2020.0,2020-10-11,5.0,5.0,23.129,BAL,CIN,W 27-3,True,10,6,77,12.83,1,60.0%,7.70,1,1,1.00,0,1,30,30.00,0,1,6,0,0,0,0,0,0,54,86%,0,0%,1,4%,False,Marquise Brown,True,27,3
2020.0,2020-10-18,6.0,6.0,23.136,BAL,PHI,W 30-28,True,6,4,57,14.25,0,66.7%,9.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,85%,0,0%,0,0%,True,Marquise Brown,True,30,28
2020.0,2020-11-01,7.0,8.0,23.15,BAL,PIT,L 24-28,True,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,77,94%,0,0%,0,0%,False,Marquise Brown,False,24,28
2020.0,2020-11-08,8.0,9.0,23.157,BAL,IND,W 24-10,True,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,55,86%,0,0%,0,0%,True,Marquise Brown,True,24,10
2020.0,2020-11-15,9.0,10.0,23.164,BAL,NWE,L 17-23,True,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,True,Marquise Brown,False,17,23
2020.0,2020-11-22,10.0,11.0,23.171,BAL,TEN,L 24-30,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,72%,0,0%,0,0%,False,Marquise Brown,False,24,30
2020.0,2020-12-02,11.0,12.0,23.181,BAL,PIT,L 14-19,True,8,4,85,21.25,1,50.0%,10.63,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,42,79%,0,0%,0,0%,True,Marquise Brown,False,14,19
2020.0,2020-12-08,12.0,13.0,23.187,BAL,DAL,W 34-17,True,8,5,39,7.80,1,62.5%,4.88,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,45,82%,0,0%,1,4%,False,Marquise Brown,True,34,17
2020.0,2020-12-14,13.0,14.0,23.193,BAL,CLE,W 47-42,True,6,2,50,25.00,1,33.3%,8.33,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,52,87%,0,0%,0,0%,True,Marquise Brown,True,47,42
2020.0,2020-12-20,14.0,15.0,23.199,BAL,JAX,W 40-14,True,7,6,98,16.33,0,85.7%,14.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,False,Marquise Brown,True,40,14
2020.0,2020-12-27,15.0,16.0,23.206,BAL,NYG,W 27-13,False,4,4,25,6.25,1,100.0%,6.25,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,43,63%,0,0%,0,0%,False,Marquise Brown,True,27,13
2020.0,2021-01-03,16.0,17.0,23.213,BAL,CIN,W 38-3,True,8,5,41,8.20,2,62.5%,5.13,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,43,58%,0,0%,0,0%,True,Marquise Brown,True,38,3
2021.0,2021-09-13,1.0,1.0,24.101,BAL,LVR,L 27-33,True,6,6,69,11.50,1,100.0%,11.50,1,5,5.00,0,0,0,,0,1,6,0,0,0,0,0,0,47,69%,0,0%,0,0%,True,Marquise Brown,False,27,33
2021.0,2021-09-19,2.0,2.0,24.107,BAL,KAN,W 36-35,True,10,6,113,18.83,1,60.0%,11.30,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,55,72%,0,0%,0,0%,False,Marquise Brown,True,36,35
2021.0,2021-09-26,3.0,3.0,24.114,BAL,DET,W 19-17,True,7,3,53,17.67,0,42.9%,7.57,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,True,Marquise Brown,True,19,17
2021.0,2021-10-03,4.0,4.0,24.121,BAL,DEN,W 23-7,True,5,4,91,22.75,1,80.0%,18.20,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,45,62%,0,0%,0,0%,True,Marquise Brown,True,23,7
2021.0,2021-10-11,5.0,5.0,24.129,BAL,IND,W 31-25,True,10,9,125,13.89,2,90.0%,12.50,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,66,90%,0,0%,0,0%,False,Marquise Brown,True,31,25
2021.0,2021-10-17,6.0,6.0,24.135,BAL,LAC,W 34-6,True,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,51,74%,0,0%,0,0%,False,Marquise Brown,True,34,6
2021.0,2021-10-24,7.0,7.0,24.142,BAL,CIN,L 17-41,True,14,5,80,16.00,1,35.7%,5.71,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,63,86%,0,0%,0,0%,False,Marquise Brown,False,17,41
2021.0,2021-11-07,8.0,9.0,24.156,BAL,MIN,W 34-31,True,12,9,116,12.89,0,75.0%,9.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,80,82%,0,0%,0,0%,False,Marquise Brown,True,34,31
2021.0,2021-11-11,9.0,10.0,24.16,BAL,MIA,L 10-22,True,13,6,37,6.17,0,46.2%,2.85,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,55,75%,0,0%,0,0%,True,Marquise Brown,False,10,22
2021.0,2021-11-21,10.0,11.0,,BAL,CHI,W 16-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marquise Brown,True,16,13
2021.0,2021-11-28,11.0,12.0,24.177,BAL,CLE,W 16-10,True,10,8,51,6.38,0,80.0%,5.10,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,61,75%,0,0%,0,0%,False,Marquise Brown,True,16,10
2021.0,2021-12-05,12.0,13.0,24.184,BAL,PIT,L 19-20,True,7,5,55,11.00,0,71.4%,7.86,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,True,Marquise Brown,False,19,20
2021.0,2021-12-12,13.0,14.0,24.191,BAL,CLE,L 22-24,True,8,5,41,8.20,0,62.5%,5.13,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,70,95%,0,0%,0,0%,True,Marquise Brown,False,22,24
2021.0,2021-12-19,14.0,15.0,24.198,BAL,GNB,L 30-31,True,14,10,43,4.30,0,71.4%,3.07,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,89%,0,0%,0,0%,False,Marquise Brown,False,30,31
2021.0,2021-12-26,15.0,16.0,24.205,BAL,CIN,L 21-41,True,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,True,Marquise Brown,False,21,41
2021.0,2022-01-02,16.0,17.0,24.212,BAL,LAR,L 19-20,True,8,3,28,9.33,0,37.5%,3.50,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,54,76%,0,0%,0,0%,False,Marquise Brown,False,19,20
2021.0,2022-01-09,17.0,18.0,24.219,BAL,PIT,L 13-16,True,8,3,27,9.00,0,37.5%,3.38,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,82%,0,0%,0,0%,False,Marquise Brown,False,13,16
,46 Games,,,,,,30-16-0,False,317,195,2361,12.11,21,61.5%,7.45,2,6,3.00,0,1,30,30.00,0,21,126,3,1,0,0,0,0,,,,,,,False,Marquise Brown,False,16,0
