Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-09-09,1,1,22.208,CHI,,IND,W 41-21,False,5,3,80,26.67,1,60.0%,16.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,41,54%,0,0%,0,0%,False,Alshon Jeffery
2012,2012-09-13,2,2,22.212,CHI,@,GNB,L 10-23,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,37,62%,0,0%,0,0%,True,Alshon Jeffery
2012,2012-09-23,3,3,22.222,CHI,,STL,W 23-6,True,7,5,45,9.00,0,71.4%,6.43,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,51,74%,0,0%,0,0%,False,Alshon Jeffery
2012,2012-10-01,4,4,22.230,CHI,@,DAL,W 34-18,False,5,3,32,10.67,0,60.0%,6.40,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,41,75%,0,0%,1,4%,True,Alshon Jeffery
2012,2012-10-07,5,5,22.236,CHI,@,JAX,W 41-3,True,4,2,20,10.00,1,50.0%,5.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,44,59%,0,0%,0,0%,True,Alshon Jeffery
2012,2012-10-22,6,7,,CHI,,DET,W 13-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alshon Jeffery
2012,2012-10-28,7,8,,CHI,,CAR,W 23-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alshon Jeffery
2012,2012-11-04,8,9,,CHI,@,TEN,W 51-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Alshon Jeffery
2012,2012-11-11,9,10,,CHI,,HOU,L 6-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alshon Jeffery
2012,2012-11-19,10,11,22.279,CHI,@,SFO,L 7-32,False,4,2,15,7.50,0,50.0%,3.75,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,26,44%,0,0%,0,0%,True,Alshon Jeffery
