Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,21.361,BUF,BAL,L 3-47,False,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,1,0,0,1,-25,0,8,397,49.63,0,0,0%,0,0%,11,32%,True,Corey Bojorquez,False,3,47
2018.0,2018-09-16,2.0,2.0,22.003,BUF,LAC,L 20-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,223,44.60,0,0,0%,0,0%,9,30%,False,Corey Bojorquez,False,20,31
2018.0,2018-09-23,3.0,3.0,22.01,BUF,MIN,W 27-6,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,259,43.17,0,0,0%,0,0%,11,46%,True,Corey Bojorquez,True,27,6
2018.0,2018-09-30,4.0,4.0,22.017,BUF,GNB,L 0-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,8,348,43.50,0,0,0%,0,0%,8,35%,True,Corey Bojorquez,False,0,22
2018.0,2018-10-07,5.0,5.0,22.024,BUF,TEN,W 13-12,False,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,0,0,0,,,0,0,0,0,0,0,4,175,43.75,0,0,0%,0,0%,8,38%,False,Corey Bojorquez,True,13,12
2018.0,2018-10-14,6.0,6.0,22.031,BUF,HOU,L 13-20,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,243,48.60,1,0,0%,0,0%,10,36%,True,Corey Bojorquez,False,13,20
2018.0,2018-10-21,7.0,7.0,22.038,BUF,IND,L 5-37,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,185,46.25,0,0,0%,0,0%,5,21%,True,Corey Bojorquez,False,5,37
2018.0,2018-10-29,8.0,8.0,22.046,BUF,NWE,L 6-25,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,1,0,0,1,0,0,5,198,39.60,0,0,0%,0,0%,7,25%,False,Corey Bojorquez,False,6,25
2018.0,2018-11-04,9.0,9.0,,BUF,CHI,L 9-41,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Corey Bojorquez,False,9,41
2018.0,2018-11-11,10.0,10.0,,BUF,NYJ,W 41-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Corey Bojorquez,True,41,10
